Date,Country,City,Specie,count,min (ppb),max (ppb),median (ppb)
2017-02-14,US,Manhattan,o3,17,8.0,22.0,16.0
2017-02-14,CN,Shanghai,o3,210,3.0,62.0,25.0
2017-02-14,US,Jacksonville,o3,46,0.0,20.0,9.0
2017-02-14,CN,Beijing,o3,358,1.0,127.0,2.0
2017-02-14,CN,Wuhan,o3,392,0.0,56.0,16.0
2017-02-14,US,Los Angeles,o3,21,1.0,33.0,6.0
2017-02-14,US,Houston,o3,120,10.0,27.0,19.0
2017-02-15,CN,Shanghai,o3,211,6.0,62.0,43.0
2017-02-15,US,Los Angeles,o3,20,1.0,41.0,6.0
2017-02-15,CN,Beijing,o3,297,1.0,42.0,4.0
2017-02-15,US,Houston,o3,117,1.0,41.0,23.0
2017-02-15,US,Jacksonville,o3,47,8.0,17.0,12.0
2017-02-15,US,Manhattan,o3,24,2.0,30.0,14.0
2017-02-15,CN,Wuhan,o3,347,0.0,62.0,10.0
2017-02-16,US,Manhattan,o3,24,19.0,27.0,23.0
2017-02-16,US,Jacksonville,o3,47,1.0,21.0,16.0
2017-02-16,US,Los Angeles,o3,20,1.0,28.0,15.0
2017-02-16,CN,Shanghai,o3,205,6.0,52.0,30.0
2017-02-16,US,Houston,o3,102,1.0,49.0,28.0
2017-02-16,CN,Beijing,o3,280,1.0,39.0,27.0
2017-02-16,CN,Wuhan,o3,371,0.0,65.0,23.0
2017-02-17,US,Houston,o3,118,1.0,41.0,21.0
2017-02-17,US,Jacksonville,o3,48,0.0,25.0,15.0
2017-02-17,US,Los Angeles,o3,23,10.0,38.0,25.0
2017-02-17,CN,Shanghai,o3,152,2.0,37.0,31.0
2017-02-17,US,Manhattan,o3,24,19.0,31.0,24.0
2017-02-17,CN,Beijing,o3,335,1.0,42.0,24.0
2017-02-17,CN,Wuhan,o3,306,1.0,31.0,17.0
2017-02-18,CN,Beijing,o3,402,1.0,127.0,6.0
2017-02-18,US,Jacksonville,o3,47,2.0,24.0,10.0
2017-02-18,US,Houston,o3,115,9.0,46.0,23.0
2017-02-18,US,Manhattan,o3,24,6.0,28.0,23.0
2017-02-18,CN,Wuhan,o3,386,0.0,34.0,9.0
2017-02-18,US,Los Angeles,o3,24,2.0,42.0,36.0
2017-02-18,CN,Shanghai,o3,207,17.0,36.0,30.0
2017-02-19,CN,Beijing,o3,321,1.0,49.0,24.0
2017-02-19,US,Jacksonville,o3,48,5.0,19.0,15.0
2017-02-19,US,Houston,o3,120,9.0,25.0,15.0
2017-02-19,US,Manhattan,o3,24,23.0,38.0,30.0
2017-02-19,US,Los Angeles,o3,24,1.0,33.0,25.0
2017-02-19,CN,Shanghai,o3,216,7.0,57.0,33.0
2017-02-19,CN,Wuhan,o3,337,0.0,50.0,11.0
2017-02-20,US,Manhattan,o3,24,19.0,33.0,30.0
2017-02-20,CN,Wuhan,o3,352,0.0,39.0,17.0
2017-02-20,CN,Beijing,o3,327,1.0,127.0,27.0
2017-02-20,US,Houston,o3,71,1.0,34.0,18.0
2017-02-20,US,Los Angeles,o3,24,3.0,28.0,22.0
2017-02-20,US,Jacksonville,o3,47,0.0,22.0,11.0
2017-02-20,CN,Shanghai,o3,205,3.0,42.0,29.0
2017-02-21,CN,Shanghai,o3,216,25.0,42.0,36.0
2017-02-21,CN,Beijing,o3,291,1.0,29.0,10.0
2017-02-21,US,Houston,o3,70,1.0,43.0,15.0
2017-02-21,US,Jacksonville,o3,47,0.0,21.0,17.0
2017-02-21,US,Manhattan,o3,24,16.0,30.0,28.0
2017-02-21,US,Los Angeles,o3,23,2.0,28.0,6.0
2017-02-21,CN,Wuhan,o3,387,3.0,46.0,16.0
2017-02-22,US,Jacksonville,o3,48,14.0,22.0,18.0
2017-02-22,CN,Beijing,o3,424,1.0,45.0,15.0
2017-02-22,US,Houston,o3,105,1.0,57.0,24.0
2017-02-22,US,Los Angeles,o3,24,2.0,36.0,19.0
2017-02-22,CN,Shanghai,o3,214,5.0,46.0,11.0
2017-02-22,US,Manhattan,o3,18,1.0,24.0,9.0
2017-02-22,CN,Wuhan,o3,351,3.0,34.0,17.0
2017-02-23,CN,Wuhan,o3,380,0.0,46.0,19.0
2017-02-23,CN,Shanghai,o3,209,6.0,49.0,24.0
2017-02-23,US,Manhattan,o3,20,1.0,23.0,6.0
2017-02-23,US,Houston,o3,119,1.0,59.0,32.0
2017-02-23,CN,Beijing,o3,452,1.0,48.0,23.0
2017-02-23,US,Los Angeles,o3,24,28.0,41.0,36.0
2017-02-23,US,Jacksonville,o3,46,12.0,19.0,17.0
2017-02-24,US,Los Angeles,o3,24,2.0,39.0,14.0
2017-02-24,US,Houston,o3,119,5.0,45.0,32.0
2017-02-24,CN,Beijing,o3,403,1.0,47.0,19.0
2017-02-24,US,Manhattan,o3,23,1.0,31.0,18.0
2017-02-24,CN,Shanghai,o3,214,7.0,56.0,37.0
