Date,Country,City,Specie,count,min (ug/m3),max (ug/m3),median (ug/m3)
2017-01-18,CN,Shanghai,pm25,216,20.1,65.1,33.0
2017-01-18,US,Jacksonville,pm25,94,0.9,20.6,5.5
2017-01-18,US,Manhattan,pm25,72,4.3,23.0,8.3
2017-01-18,CN,Beijing,pm25,408,2.1,282.7,40.7
2017-01-19,CN,Beijing,pm25,445,3.1,152.5,14.9
2017-01-19,US,Manhattan,pm25,72,1.9,14.0,7.9
2017-01-19,IN,New Delhi,pm25,13,109.7,195.9,157.5
2017-01-19,CN,Shanghai,pm25,214,48.0,121.3,72.9
2017-01-19,CN,Wuhan,pm25,389,26.8,155.5,109.7
2017-01-19,US,Houston,pm25,82,0.2,12.1,3.3
2017-01-19,US,Jacksonville,pm25,84,0.4,15.9,5.5
2017-01-19,US,Los Angeles,pm25,63,1.2,19.2,9.8
2017-01-20,US,Jacksonville,pm25,58,2.4,13.5,4.8
2017-01-20,US,Manhattan,pm25,72,3.3,54.9,9.6
2017-01-20,CN,Shanghai,pm25,216,7.2,197.9,46.8
2017-01-20,CN,Wuhan,pm25,386,15.9,158.5,52.1
2017-01-20,IN,New Delhi,pm25,17,33.0,187.8,103.9
2017-01-20,CN,Beijing,pm25,452,3.1,138.7,16.8
2017-01-20,US,Houston,pm25,90,1.2,23.5,9.6
2017-01-20,US,Los Angeles,pm25,54,0.4,24.4,6.0
2017-01-21,US,Los Angeles,pm25,71,0.9,17.3,6.0
2017-01-21,IN,New Delhi,pm25,22,76.8,1255.9545520361992,171.6
2017-01-21,US,Houston,pm25,95,0.9,23.9,11.0
2017-01-21,CN,Wuhan,pm25,359,23.9,171.6,54.1
2017-01-21,US,Manhattan,pm25,72,4.8,24.4,11.7
2017-01-21,CN,Shanghai,pm25,207,12.0,61.3,31.5
2017-01-21,CN,Beijing,pm25,432,3.1,164.6,10.0
2017-01-22,IN,New Delhi,pm25,19,72.9,371.6,260.5
2017-01-22,CN,Wuhan,pm25,381,54.1,222.1,92.2
2017-01-22,US,Los Angeles,pm25,64,0.2,30.6,7.2
2017-01-22,US,Manhattan,pm25,67,5.5,25.8,14.0
2017-01-22,CN,Shanghai,pm25,212,14.9,76.8,46.0
2017-01-22,CN,Beijing,pm25,437,3.1,207.0,18.7
2017-01-22,US,Houston,pm25,80,0.2,6.7,3.6
2017-01-23,CN,Beijing,pm25,430,3.1,220.1,28.2
2017-01-23,IN,New Delhi,pm25,20,80.6,265.6,173.7
2017-01-23,US,Jacksonville,pm25,64,0.4,9.1,3.8
2017-01-23,US,Los Angeles,pm25,66,0.2,18.7,4.0
2017-01-23,US,Houston,pm25,77,0.4,30.6,3.6
2017-01-23,CN,Wuhan,pm25,382,50.1,174.7,86.4
2017-01-23,CN,Shanghai,pm25,213,5.0,42.8,22.0
2017-01-23,US,Manhattan,pm25,67,0.7,14.4,5.0
2017-01-24,CN,Shanghai,pm25,212,10.0,61.3,21.1
2017-01-24,IN,New Delhi,pm25,24,100.0,359.5,192.8
2017-01-24,US,Manhattan,pm25,72,0.9,14.9,5.5
2017-01-24,CN,Beijing,pm25,368,3.1,201.9,98.1
2017-01-24,US,Jacksonville,pm25,79,0.2,17.8,5.5
2017-01-24,CN,Wuhan,pm25,389,38.7,125.2,61.3
2017-01-24,US,Houston,pm25,92,0.9,27.7,7.2
2017-01-24,US,Los Angeles,pm25,69,0.7,74.8,11.2
2017-01-25,CN,Wuhan,pm25,405,40.7,121.3,80.6
2017-01-25,US,Houston,pm25,92,0.2,16.3,5.2
2017-01-25,US,Jacksonville,pm25,88,1.9,20.6,6.9
2017-01-25,US,Manhattan,pm25,63,0.4,12.5,6.9
2017-01-25,US,Los Angeles,pm25,72,1.9,34.4,13.0
2017-01-25,CN,Shanghai,pm25,216,36.7,72.9,55.5
2017-01-25,CN,Beijing,pm25,399,113.6,274.7,180.7
2017-01-25,IN,New Delhi,pm25,24,107.7,301.9,188.8
2017-01-26,US,Jacksonville,pm25,99,0.2,14.9,5.0
2017-01-26,CN,Shanghai,pm25,214,33.0,76.8,52.1
2017-01-26,US,Los Angeles,pm25,71,2.4,48.9,14.9
2017-01-26,US,Manhattan,pm25,60,1.4,44.0,8.6
2017-01-26,IN,New Delhi,pm25,24,30.1,177.7,136.8
2017-01-26,CN,Wuhan,pm25,407,30.1,129.0,63.2
2017-01-26,US,Houston,pm25,95,0.7,17.3,4.8
2017-01-26,CN,Beijing,pm25,296,3.1,400.4,248.3
2017-01-27,CN,Beijing,pm25,385,3.1,488.2,40.7
2017-01-27,US,Jacksonville,pm25,116,0.4,20.6,3.6
2017-01-27,US,Los Angeles,pm25,69,0.2,39.5,9.1
2017-01-27,US,Houston,pm25,95,0.2,43.6,5.5
2017-01-27,US,Manhattan,pm25,61,0.7,7.9,4.8
2017-01-27,CN,Shanghai,pm25,216,9.1,150.4,36.7
2017-01-27,CN,Wuhan,pm25,387,44.8,229.2,111.6
2017-01-27,IN,New Delhi,pm25,24,13.0,136.8,48.0
2017-01-28,CN,Wuhan,pm25,384,92.2,245.3,146.5
2017-01-28,CN,Beijing,pm25,448,3.1,942.5097194570136,282.7
2017-01-28,US,Jacksonville,pm25,117,0.7,80.6,5.0
2017-01-28,US,Los Angeles,pm25,55,0.4,50.1,18.7
2017-01-28,CN,Shanghai,pm25,216,9.1,40.7,26.8
2017-01-28,US,Houston,pm25,95,0.4,40.7,4.8
2017-01-28,IN,New Delhi,pm25,13,90.3,187.8,101.9
